직원 이름,부서,월별 매출액,상품별 판매량,지역별 매출,개인정보_ID,사무실_내선번호
직원_88,마케팅부,2690,161,서울,823290,7328
직원_89,마케팅부,8760,195,대전,858707,5055
직원_90,인사부,8255,85,부산,252499,6454
직원_91,인사부,7980,52,대전,278453,4553
직원_92,개발부,8326,157,광주,146969,5044
직원_93,영업부,7757,149,서울,546228,2702
직원_94,기획부,7646,121,부산,355448,1040
직원_95,개발부,5048,164,대전,347644,3440
직원_96,기획부,6548,73,부산,182466,9111
직원_97,기획부,4804,196,광주,977789,4630
직원_98,기획부,8864,60,부산,363225,8329
직원_99,인사부,6000,140,광주,438321,5901
직원_100,개발부,6887,132,부산,881032,4638
직원_101,마케팅부,4923,105,부산,113261,1003
직원_102,영업부,8983,64,광주,895949,3164
직원_103,개발부,6766,135,경기,628497,7635
직원_104,기획부,4589,176,광주,872299,4564
직원_105,영업부,5797,198,광주,834818,8568
직원_106,개발부,3997,160,서울,484165,1118
직원_107,개발부,5597,160,광주,851372,7397
직원_108,영업부,6550,187,대전,189396,6388
직원_109,기획부,5526,96,서울,424067,7604
직원_110,영업부,5223,71,경기,341607,9933
직원_111,인사부,6644,89,광주,530751,2838
직원_112,개발부,6881,59,서울,740255,2505
직원_113,개발부,5133,139,대전,371503,3298
직원_114,마케팅부,8471,198,경기,788634,9653
직원_115,개발부,7137,158,광주,224202,7384
직원_116,기획부,8218,50,광주,232269,4157
직원_117,영업부,3389,157,대전,678680,7635
직원_118,기획부,8452,193,경기,174202,4393
직원_119,영업부,6276,113,경기,899540,6556
직원_120,기획부,5994,50,부산,681843,8290
직원_121,개발부,2262,195,서울,839507,2021
직원_122,영업부,2800,153,부산,904710,9931
직원_123,마케팅부,2063,187,서울,478817,1280
직원_124,기획부,4266,186,광주,644500,7843
직원_125,기획부,3628,152,부산,645614,2020
직원_126,인사부,4250,103,대전,267136,9595
직원_127,기획부,3152,187,대전,892856,7482
직원_128,마케팅부,6127,100,광주,191537,6567
직원_129,마케팅부,4734,53,경기,660806,5683
직원_130,영업부,4052,120,대전,385349,2624
직원_131,영업부,6104,188,대전,551116,5544
직원_132,인사부,8477,163,서울,359684,1430
직원_133,개발부,8228,88,부산,597991,4589
직원_134,영업부,2273,167,대전,353444,3358
직원_135,기획부,5508,152,대전,552434,6173
직원_136,영업부,4630,150,경기,406295,7095
직원_137,마케팅부,5332,152,경기,753899,5075
직원_138,영업부,4402,132,경기,596854,3718
직원_139,기획부,2270,68,서울,366684,2627
직원_140,개발부,6875,163,부산,394514,1960
직원_141,마케팅부,3036,82,광주,317477,6794
직원_142,기획부,5399,192,서울,827485,9794
직원_143,마케팅부,8965,198,부산,189527,9880
직원_144,인사부,8368,130,경기,596791,5275
직원_145,인사부,6114,136,서울,657387,1929
직원_146,개발부,6552,157,서울,338011,1912
직원_147,마케팅부,7370,182,부산,375916,4885
직원_148,기획부,5616,143,광주,957365,1959
직원_149,개발부,8788,51,대전,510597,1274
직원_150,인사부,7144,171,대전,566468,8887
직원_151,인사부,8587,78,서울,840958,2096
직원_152,개발부,4529,153,부산,112655,2806
직원_153,마케팅부,3161,182,광주,516229,4208
직원_154,인사부,4805,164,부산,947075,9750
직원_155,개발부,4687,146,경기,497482,4270
직원_156,개발부,7833,170,부산,415679,9679
직원_157,영업부,8947,114,부산,600722,8993
직원_158,영업부,6086,57,광주,327232,5350
직원_159,기획부,4645,69,서울,373188,5477
직원_160,기획부,8149,95,대전,686270,7281
직원_161,개발부,8116,143,광주,862732,9020
직원_162,마케팅부,2703,156,서울,147910,4794
직원_163,개발부,4581,109,광주,137824,9438
직원_164,인사부,3599,141,광주,270477,5234
직원_165,인사부,6120,150,경기,429640,9885
직원_166,기획부,3266,163,광주,659515,2959
직원_167,개발부,2524,154,경기,169149,7058
직원_168,인사부,2965,133,부산,528128,6638
직원_169,인사부,6095,122,부산,685463,8564
직원_170,마케팅부,6237,136,광주,447125,8120
직원_171,기획부,6260,107,부산,718627,7842
직원_172,마케팅부,6005,86,대전,526403,9820
직원_173,영업부,8670,153,경기,914850,5896
직원_174,영업부,5448,95,서울,205850,7925
직원_175,개발부,8152,74,부산,758066,6218
직원_176,개발부,7950,50,경기,485099,2794
직원_177,마케팅부,6350,56,광주,978551,4983
직원_178,마케팅부,7015,130,광주,798489,2922
직원_179,인사부,2032,156,경기,575708,9060
직원_180,인사부,4983,194,부산,534973,8704
직원_181,개발부,3693,181,부산,777101,1597
직원_182,영업부,8784,163,경기,182851,9854
직원_183,영업부,7969,60,경기,157716,7707
직원_184,인사부,8231,57,대전,395417,8833
직원_185,개발부,7295,77,광주,304939,2653
직원_186,기획부,2654,166,서울,178564,6748
직원_187,인사부,5666,62,서울,295032,4615
직원_188,인사부,2504,121,광주,476552,7668
직원_189,마케팅부,2629,96,부산,582107,5912
직원_190,영업부,5832,101,대전,726794,5496
직원_191,영업부,7139,67,대전,164220,9253
직원_192,인사부,3932,51,광주,147630,8169
직원_193,영업부,4712,99,서울,920657,6013
직원_194,인사부,2892,158,서울,441826,3461
직원_195,기획부,6431,95,부산,936168,5398
직원_196,기획부,4444,178,대전,111001,3110
직원_197,개발부,4812,141,부산,621949,9077
직원_198,개발부,2307,183,서울,667168,8234
직원_199,마케팅부,5327,91,광주,263895,1553
직원_200,인사부,4512,141,광주,195774,3006
직원_201,인사부,3650,95,부산,750825,6795
직원_202,영업부,5352,194,서울,421836,5550
직원_203,인사부,5417,96,서울,971895,4023
직원_204,마케팅부,5154,59,부산,609129,2034
직원_205,마케팅부,6615,170,대전,500059,5587
직원_206,영업부,5574,117,부산,294084,8094
직원_207,마케팅부,3011,128,대전,764073,8541
직원_208,인사부,3700,166,부산,764268,2907
직원_209,인사부,5330,184,서울,448227,7177
직원_210,개발부,6165,128,서울,302560,1591
직원_211,영업부,7593,80,대전,580637,9271
직원_212,개발부,3729,144,대전,916849,4448
직원_213,영업부,2025,99,대전,122330,2740
직원_214,영업부,7518,162,부산,392450,7636
직원_215,인사부,3679,67,광주,483676,5484
직원_216,영업부,8294,191,광주,907437,7050
직원_217,마케팅부,7730,88,경기,632135,7673
직원_218,기획부,4747,59,부산,335262,7651
직원_219,인사부,6754,150,광주,541597,3498
직원_220,마케팅부,8400,97,경기,259668,5881
직원_221,인사부,3028,134,부산,689444,9937
직원_222,마케팅부,6400,195,부산,880314,1012
직원_223,마케팅부,6037,100,대전,388977,4870
직원_224,기획부,2863,165,서울,389459,1221
직원_225,기획부,8676,176,대전,257162,8265
직원_226,영업부,2082,122,경기,966980,2527
직원_227,영업부,7547,152,경기,118874,6523
직원_228,영업부,6045,143,대전,745561,6752
직원_229,영업부,3208,68,대전,743557,2596
직원_230,개발부,8199,184,서울,586511,2339
직원_231,인사부,8729,183,서울,280621,6416
직원_232,인사부,8148,120,광주,124263,8734
직원_233,인사부,2701,104,경기,910318,4482
직원_234,인사부,2870,102,부산,446946,8816
직원_235,기획부,4579,105,경기,815932,8370
직원_236,개발부,3755,156,부산,741229,2646
직원_237,마케팅부,7877,92,서울,283008,3512
직원_238,영업부,7083,126,부산,526659,8151
직원_239,영업부,7243,191,광주,240176,7479
직원_240,개발부,6366,98,대전,991475,6724
직원_241,영업부,8548,170,대전,525332,9638
직원_242,개발부,2238,96,서울,998977,1955
직원_243,개발부,7579,102,광주,390787,7107
직원_244,개발부,4128,158,부산,311092,3550
직원_245,영업부,7540,92,대전,644330,2295
직원_246,기획부,7259,197,대전,778466,2334
직원_247,인사부,5154,118,경기,674603,4992
직원_248,기획부,4079,170,광주,303691,6609
직원_249,영업부,7165,99,서울,961544,1275
직원_250,마케팅부,6612,138,대전,851360,3076
직원_251,마케팅부,8317,84,부산,944676,7097
직원_252,인사부,5732,160,부산,793534,5080
직원_253,기획부,8486,131,대전,502526,5254
직원_254,인사부,7217,157,서울,462596,2300
직원_255,개발부,4358,120,부산,908763,7774
직원_256,마케팅부,8017,108,부산,965347,4143
직원_257,개발부,4545,165,부산,972752,5956
직원_258,개발부,3205,110,광주,657985,8212
직원_259,영업부,6694,110,광주,408685,9905
직원_260,영업부,6081,149,광주,617064,4826
직원_261,마케팅부,8352,50,경기,514002,2415
직원_262,개발부,6906,102,서울,256164,8717
직원_263,마케팅부,2420,155,부산,985992,7439
직원_264,영업부,6557,124,광주,426007,6288
직원_265,영업부,2386,196,부산,173376,5619
직원_266,개발부,6660,89,서울,274508,2906
직원_267,개발부,7506,69,광주,165420,7488
직원_268,기획부,7030,97,대전,923469,2475
직원_269,인사부,2434,128,부산,947338,5659
직원_270,영업부,2421,84,부산,537959,4563
직원_271,개발부,6549,124,서울,727989,6177
직원_272,영업부,2915,172,대전,223262,3118
직원_273,마케팅부,4459,130,광주,527946,4623
직원_274,기획부,2404,50,경기,576967,1332
직원_275,인사부,8444,150,서울,715475,5791
직원_276,기획부,6299,84,경기,384523,6007
직원_277,인사부,2205,164,부산,452495,1570
직원_278,영업부,5735,142,광주,354791,1841
직원_279,기획부,2875,89,서울,811847,9821
직원_280,기획부,4165,160,서울,682072,3684
직원_281,인사부,5846,144,대전,834394,4708
직원_282,마케팅부,6291,193,서울,990650,7969
직원_283,영업부,6889,154,대전,349060,4064
직원_284,기획부,4054,92,서울,396514,7994
직원_285,기획부,3153,122,서울,329317,6427
직원_286,개발부,5796,152,부산,411606,1508
직원_287,인사부,2338,103,대전,265089,1170
직원_288,마케팅부,5833,176,서울,663791,9187
직원_289,영업부,6611,120,부산,109708,4970
직원_290,영업부,6514,138,서울,248800,3954
직원_291,인사부,6838,100,서울,766279,8478
직원_292,기획부,3949,188,대전,947696,9575
직원_293,기획부,5223,187,부산,210590,3837
직원_294,영업부,8419,77,광주,112134,8146
직원_295,기획부,7057,99,광주,765735,9415
직원_296,영업부,6588,135,부산,301231,4557
직원_297,영업부,5542,113,경기,898673,1581
직원_298,기획부,7624,187,광주,536457,7393
직원_299,개발부,6682,114,서울,428041,2133
직원_300,인사부,2304,195,서울,358318,2164
직원_301,마케팅부,3944,135,광주,944927,6311
직원_302,인사부,6220,95,대전,155949,6504
직원_303,영업부,8645,191,서울,716029,8688
직원_304,개발부,5211,84,경기,766419,5258
직원_305,인사부,2626,170,광주,857977,2506
직원_306,기획부,4447,103,서울,115103,1990
직원_307,개발부,4886,83,대전,590332,7561
직원_308,영업부,5321,66,광주,119989,8418
직원_309,기획부,4006,131,서울,945955,3624
직원_310,개발부,6840,68,부산,432386,6381
직원_311,인사부,3869,156,대전,353603,7285
직원_312,인사부,4273,187,서울,489369,6959
직원_313,인사부,2598,198,서울,386461,9315
직원_314,마케팅부,8702,175,대전,381193,5245
직원_315,인사부,5489,94,광주,522661,8857
직원_316,기획부,3748,89,대전,327551,7194
직원_317,마케팅부,6821,164,대전,911412,6440
직원_318,개발부,2337,116,대전,781994,5975
직원_319,인사부,8368,165,서울,942235,1714
직원_320,마케팅부,8492,65,서울,794078,7525
직원_321,개발부,2911,105,서울,904555,7052
직원_322,개발부,7763,83,경기,660983,6606
직원_323,기획부,3729,86,대전,997452,8262
직원_324,인사부,7027,140,서울,423597,5954
직원_325,인사부,7070,68,부산,754123,1230
직원_326,인사부,4942,67,경기,215068,9444
직원_327,인사부,2266,120,서울,499402,4082
직원_328,기획부,8412,125,광주,925304,2737
직원_329,마케팅부,5017,136,대전,658004,8084
직원_330,개발부,7450,136,서울,106647,6876
직원_331,인사부,6480,134,서울,792193,6675
직원_332,기획부,4887,86,대전,251179,9185
직원_333,마케팅부,3105,81,대전,827116,1088
직원_334,영업부,5143,168,경기,919786,2660
직원_335,마케팅부,2410,147,대전,617841,7460
직원_336,개발부,8504,74,광주,478316,8601
직원_337,인사부,5542,159,경기,254475,5749
직원_338,영업부,3744,53,부산,111049,6560
직원_339,마케팅부,7507,150,대전,335225,6971
직원_340,인사부,5870,160,광주,980999,8950
직원_341,인사부,4220,106,부산,980614,4875
직원_342,마케팅부,5099,69,서울,437979,2413
직원_343,영업부,6285,160,부산,528176,4435
직원_344,영업부,3679,103,경기,189884,6322
직원_345,개발부,5600,139,부산,198059,8025
직원_346,인사부,5222,98,경기,646194,1684
직원_347,개발부,3788,110,광주,642679,2963
직원_348,기획부,2454,91,대전,966636,1251
직원_349,영업부,4176,108,부산,980646,2739
직원_350,개발부,7849,82,대전,625300,2662
직원_351,마케팅부,4771,119,부산,404464,6064
직원_352,개발부,3301,83,경기,386504,9414
직원_353,인사부,7572,112,경기,262975,9238
직원_354,영업부,6595,66,대전,494511,2682
직원_355,개발부,6898,132,서울,884895,7164
직원_356,개발부,4206,73,대전,346171,2799
직원_357,영업부,8819,165,경기,630912,6377
직원_358,기획부,2104,50,서울,583992,9875
직원_359,기획부,7434,187,서울,349399,6422
직원_360,기획부,5634,135,광주,396436,4761
직원_361,인사부,2386,55,대전,283334,5773
직원_362,기획부,6241,129,경기,343034,9506
직원_363,인사부,2015,62,부산,885674,8216
직원_364,영업부,3057,109,경기,762260,3656
직원_365,영업부,8589,84,대전,243644,1233
직원_366,인사부,7659,159,대전,471715,2952
직원_367,영업부,5368,144,서울,718888,4794
직원_368,개발부,7071,58,광주,923467,5618
직원_369,영업부,4603,54,광주,526190,7448
직원_370,마케팅부,8871,112,부산,372951,7660
직원_371,마케팅부,7750,192,서울,240484,2373
직원_372,개발부,8595,93,경기,380061,3338
직원_373,인사부,6194,124,부산,599665,9356
직원_374,영업부,5838,106,광주,382154,9190
직원_375,기획부,4125,166,광주,928330,4100
직원_376,마케팅부,6776,151,광주,586016,7592
직원_377,기획부,4526,112,부산,382558,5429
직원_378,인사부,7792,166,부산,307701,9296
직원_379,개발부,6233,113,부산,111630,3249
직원_380,기획부,4405,124,부산,646458,5321
직원_381,기획부,3866,55,광주,572904,1183
직원_382,영업부,8516,155,부산,949106,6153
직원_383,기획부,8425,81,광주,700746,4810
직원_384,영업부,3132,124,서울,283112,2277
직원_385,마케팅부,5043,107,광주,999947,8729
직원_386,영업부,7679,144,부산,926249,8058
직원_387,개발부,6496,185,경기,567038,5909
직원_388,마케팅부,4545,182,대전,781382,1599
직원_389,개발부,2644,153,부산,666234,5785
직원_390,개발부,4719,65,광주,551328,4618
직원_391,기획부,3266,125,부산,314579,7677
직원_392,개발부,4635,142,경기,799288,8221
직원_393,개발부,8547,103,광주,117315,9808
직원_394,기획부,4171,167,경기,930147,9596
직원_395,기획부,3235,71,부산,164018,8685
직원_396,마케팅부,5377,107,서울,382024,3786
직원_397,마케팅부,4543,179,서울,359448,3768
직원_398,인사부,5928,192,경기,949588,4690
직원_399,인사부,3659,77,서울,652290,9646
직원_400,영업부,2144,174,대전,264723,3222
직원_401,기획부,2905,112,서울,310735,8507
직원_402,마케팅부,2556,138,부산,926679,7827
직원_403,영업부,7365,122,대전,359941,9030
직원_404,영업부,3455,95,경기,227714,5335
직원_405,기획부,4679,134,대전,277663,8020
직원_406,개발부,2914,93,대전,453504,1240
직원_407,개발부,8551,53,대전,480763,5120
직원_408,영업부,2352,102,광주,684799,3899
직원_409,개발부,3574,166,서울,914054,8932
직원_410,마케팅부,4361,134,서울,657564,8174
직원_411,기획부,4632,107,경기,890839,9758
직원_412,개발부,6346,93,광주,310249,8011
직원_413,개발부,7551,83,광주,797779,4429
직원_414,영업부,8866,199,광주,651440,4665
직원_415,개발부,4336,79,대전,134419,1747
직원_416,기획부,5902,119,경기,868899,6262
직원_417,인사부,2869,72,서울,308852,9971
직원_418,마케팅부,7017,161,부산,857499,1519
직원_419,영업부,7047,188,경기,209946,3797
직원_420,개발부,4937,122,대전,404371,5454
직원_421,영업부,2657,125,경기,320427,8939
직원_422,인사부,3495,77,대전,927401,6431
직원_423,인사부,6269,78,경기,654065,5298
직원_424,인사부,2309,146,부산,976466,2884
직원_425,영업부,4529,119,광주,996651,9625
직원_426,개발부,5564,143,대전,819052,2819
직원_427,기획부,7435,84,대전,666543,7792
직원_428,인사부,5616,54,부산,432802,3234
직원_429,인사부,5354,52,경기,369491,5779
직원_430,마케팅부,5920,121,서울,868188,6646
직원_431,인사부,5811,95,대전,348213,6295
직원_432,영업부,7291,138,서울,525699,3526
직원_433,개발부,8847,141,경기,790836,1879
직원_434,기획부,2990,133,대전,487040,9925
직원_435,기획부,5074,106,서울,899226,3920
직원_436,개발부,7030,133,서울,875175,6513
직원_437,마케팅부,2813,182,광주,789463,1227
직원_438,인사부,3123,82,부산,140281,9335
직원_439,개발부,4009,176,서울,969920,9553
직원_440,영업부,6925,135,서울,206537,4390
직원_441,개발부,7356,134,부산,687148,2580
직원_442,개발부,8635,142,경기,314233,1620
직원_443,개발부,5556,88,경기,974716,9146
직원_444,개발부,4993,159,부산,509483,6310
직원_445,개발부,3458,182,서울,448024,8684
직원_446,마케팅부,3279,182,대전,103851,7194
직원_447,인사부,2622,145,부산,887229,5860
직원_448,개발부,5880,61,부산,167663,1453
직원_449,개발부,7864,147,경기,565921,3535
직원_450,영업부,2700,131,서울,607860,4353
직원_451,기획부,8802,68,부산,206755,8841
직원_452,기획부,4195,73,광주,219539,3645
직원_453,기획부,5533,96,경기,735672,8990
직원_454,마케팅부,5773,129,부산,231631,7578
직원_455,인사부,5431,83,대전,559688,1634
직원_456,개발부,3304,166,광주,982508,8988
직원_457,개발부,6609,178,서울,923423,8968
직원_458,인사부,7096,162,경기,379811,4907
직원_459,기획부,8122,160,부산,680061,1331
직원_460,인사부,5743,177,부산,950488,7869
직원_461,기획부,8905,125,서울,720444,7035
직원_462,인사부,8778,61,경기,228127,7959
직원_463,기획부,5794,124,서울,458479,6832
직원_464,마케팅부,8688,101,대전,799664,6105
직원_465,개발부,2076,57,서울,624745,3442
직원_466,개발부,7081,69,서울,122047,8680
직원_467,기획부,6574,86,대전,601409,3096
직원_468,인사부,5472,137,경기,376933,5872
직원_469,영업부,8646,64,광주,530551,3790
직원_470,인사부,6232,93,경기,698638,8457
직원_471,인사부,3126,66,광주,468283,9784
직원_472,개발부,6245,87,광주,151842,3255
직원_473,개발부,6037,95,광주,480662,2077
직원_474,마케팅부,6193,97,서울,838552,8990
직원_475,개발부,5083,53,경기,215794,9276
직원_476,인사부,4612,126,부산,234127,6677
직원_477,인사부,4485,125,부산,864357,4176
직원_478,마케팅부,8633,191,경기,682258,7079
직원_479,인사부,3249,51,서울,314311,4920
직원_480,인사부,4142,181,부산,957463,4761
직원_481,마케팅부,3969,158,대전,332808,8898
직원_482,개발부,5881,75,대전,269521,7855
직원_483,마케팅부,6007,163,대전,801883,2342
직원_484,영업부,5747,83,부산,431019,5886
직원_485,마케팅부,4891,60,대전,736581,3779
직원_486,개발부,3116,102,경기,198440,3213
직원_487,영업부,8284,158,광주,704535,7469
직원_488,마케팅부,7633,107,경기,605122,6689
직원_489,개발부,2703,178,대전,664709,9918
직원_490,인사부,8812,115,경기,647659,6473
직원_491,마케팅부,2301,64,대전,548934,3003
직원_492,기획부,5970,108,부산,260940,6345
직원_493,기획부,7664,62,광주,132353,8016
직원_494,영업부,3037,85,광주,583600,9596
직원_495,인사부,2321,195,광주,577897,1459
직원_496,기획부,7980,89,부산,211475,2887
직원_497,인사부,4935,88,대전,966032,2232
직원_498,개발부,8589,72,대전,938166,5188
직원_499,영업부,5707,77,부산,606334,8595
직원_500,영업부,7951,166,대전,728888,5669
직원_501,인사부,8601,132,경기,544877,4052
직원_502,기획부,6659,135,부산,596660,2096
직원_503,기획부,7211,110,서울,262875,2014
직원_504,개발부,3547,138,대전,946711,3640
직원_505,마케팅부,6867,105,경기,393759,8221
직원_506,영업부,2608,70,광주,694057,4461
직원_507,인사부,2663,129,서울,174548,4313
직원_508,인사부,5226,61,서울,599288,9033
직원_509,영업부,5850,83,부산,745651,3455
직원_510,마케팅부,4077,88,서울,386415,4570
직원_511,영업부,3357,142,대전,368725,6251
직원_512,기획부,2386,137,서울,360356,8705
직원_513,인사부,2714,80,경기,731852,3356
직원_514,인사부,2108,125,경기,364408,8318
직원_515,마케팅부,2601,61,광주,923467,1964
직원_516,인사부,7866,102,광주,886059,2457
직원_517,마케팅부,2007,74,서울,467835,3590
직원_518,인사부,3348,117,부산,138975,6066
직원_519,마케팅부,6779,58,대전,389544,8689
직원_520,개발부,2594,95,경기,969985,9552
직원_521,개발부,7351,188,광주,478005,7466
직원_522,개발부,5742,81,경기,572215,7331
직원_523,기획부,2196,73,서울,473088,3933
직원_524,개발부,3202,138,경기,579056,7667
직원_525,기획부,5665,76,부산,555474,4832
직원_526,인사부,5139,120,서울,948556,6419
직원_527,개발부,7022,145,서울,530024,5435
직원_528,인사부,4453,87,광주,529664,2214
직원_529,마케팅부,3856,57,서울,612088,8012
직원_530,인사부,5001,87,서울,948259,3657
직원_531,마케팅부,2269,55,부산,656775,1362
직원_532,영업부,5669,113,서울,244471,2272
직원_533,마케팅부,2025,57,경기,460507,3348
직원_534,기획부,6945,116,광주,213916,3169
직원_535,인사부,8689,194,서울,367699,6655
직원_536,마케팅부,4817,154,부산,527684,3670
직원_537,영업부,7915,89,경기,728232,3977
직원_538,인사부,8626,128,광주,385243,8042
직원_539,개발부,6255,66,경기,669275,5804
직원_540,영업부,4479,105,경기,315617,5627
직원_541,영업부,3475,79,경기,778048,3104
직원_542,기획부,4995,177,광주,136316,9814
직원_543,개발부,8524,105,부산,975521,8343
직원_544,기획부,4489,146,광주,282301,1505
직원_545,영업부,6901,56,서울,699811,7878
직원_546,개발부,2661,150,서울,239866,1159
직원_547,마케팅부,3357,120,경기,761849,4780
직원_548,기획부,3975,80,서울,576348,5509
직원_549,마케팅부,8234,128,광주,817122,3295
직원_550,마케팅부,4094,198,경기,979012,8860
직원_551,인사부,5148,167,경기,713007,2872
직원_552,마케팅부,3905,109,서울,303585,8686
직원_553,개발부,3122,148,경기,158851,8354
직원_554,마케팅부,4878,158,부산,368515,7405
직원_555,인사부,8210,129,대전,555015,7515
직원_556,마케팅부,6917,191,대전,926810,8123
직원_557,개발부,8320,139,서울,537492,5131
직원_558,기획부,8574,105,서울,411175,8065
직원_559,인사부,8864,113,대전,434211,1001
직원_560,개발부,5615,87,광주,657436,3862
직원_561,영업부,6323,167,서울,700496,1495
직원_562,개발부,8666,155,경기,109285,6871
직원_563,기획부,3573,109,서울,231332,3231
직원_564,인사부,3844,179,부산,392681,4800
직원_565,마케팅부,3501,106,서울,186943,6237
직원_566,인사부,8446,161,대전,620760,6752
직원_567,인사부,6213,91,대전,851136,5771
직원_568,마케팅부,6382,139,대전,708713,1955
직원_569,기획부,8469,168,대전,747168,1307
직원_570,기획부,5694,164,광주,567579,3014
직원_571,인사부,5201,64,서울,307971,7792
직원_572,영업부,3402,180,대전,354789,6042
직원_573,마케팅부,3863,126,대전,576271,5379
직원_574,인사부,2765,158,서울,852149,2382
직원_575,인사부,8088,166,대전,192145,9006
직원_576,기획부,6699,189,대전,592202,3903
직원_577,개발부,3335,196,광주,593157,3572
직원_578,기획부,3029,128,대전,791411,2425
직원_579,인사부,3537,86,서울,932365,1957
직원_580,개발부,5713,127,경기,754044,8438
직원_581,영업부,3076,116,광주,582115,9791
직원_582,기획부,3916,105,광주,300763,9192
직원_583,기획부,4239,161,서울,824362,5544
직원_584,영업부,2492,54,서울,561629,8263
직원_585,영업부,8736,68,경기,891270,4333
직원_586,마케팅부,8107,61,서울,918788,1562
직원_587,영업부,2498,187,경기,755783,8732
직원_588,개발부,8399,126,광주,286055,1447
직원_589,마케팅부,3312,98,경기,528541,1467
직원_590,마케팅부,2142,69,부산,173683,2262
직원_591,인사부,4469,163,대전,427415,1200
직원_592,마케팅부,3789,186,경기,904527,5779
직원_593,마케팅부,4556,140,경기,443589,4942
직원_594,기획부,6649,176,대전,842476,9634
